customer_id,first_name,last_name,email,phone,address,city,state,zip,active,create_date
1,SCOTT,WILSON,scott.wilson@gmail.com,"(342) 954-2679","9035 Oak Ave",Richardson,TX,75032,1,2020-04-08
2,DONALD,NELSON,donald72@yahoo.com,"(425) 659-5557","206 Forest Ln",Plano,TX,75348,1,2021-04-25
3,MARIE,MILLER,marie49@gmail.com,"(818) 470-1711","7627 Lake Dr",Garland,TX,75080,1,2024-06-19
4,Deborah,CAMPBELL,deborah.campbell@gmail.com,"(438) 303-7227","4654 Park Ave",Frisco,TX,75379,1,2021-11-09
5,DENNIS,TURNER,dturner@protonmail.com,"(450) 367-8573","6316 Pine Rd",Carrollton,TX,75701,1,2020-04-27
6,ELIZABETH,CLARK,eclark@yahoo.com,"(935) 522-4483","8279 Washington Blvd",Mesquite,TX,75271,1,2021-12-18
7,EDWARD,THOMPSON,edward55@protonmail.com,"(424) 341-9348","8185 Oak Ave",Dallas,TX,75156,1,2023-10-03
8,DIANE,WALKER,dwalker@hotmail.com,"(211) 896-2876","8897 Forest Ln",Arlington,TX,75114,1,2023-03-15
9,MARY,PARKER,mary.parker@hotmail.com,"(840) 505-9317","3358 Maple Dr",Frisco,TX,75552,1,2024-06-16
10,LINDA,WILSON,linda.wilson@hotmail.com,"(780) 280-2403","8062 Sunset Blvd",Garland,TX,75131,0,2024-03-09
11,STEVEN,NELSON,snelson@yahoo.com,"(519) 608-7118","7277 Highland Ave",Carrollton,TX,75123,1,2021-02-11
12,LINDA,GONZALEZ,linda.gonzalez@protonmail.com,"(272) 924-1964","3850 Oak Ave",Dallas,TX,75072,1,2022-11-16
13,CYNTHIA,GREEN,NULL,"(448) 684-7669","3219 Oak Ave",Garland,TX,75362,0,2023-08-28
14,MARIA,TURNER,maria.turner@gmail.com,"(454) 396-4116","8886 Park Ave",Plano,TX,75187,1,2023-04-28
15,DOROTHY,HERNANDEZ,dorothy.hernandez@protonmail.com,"(295) 971-4872","2824 Washington Blvd",Mesquite,TX,75218,0,2020-03-13
16,MARY,WALKER,mwalker@outlook.com,"(948) 769-8973","2636 Cedar Ln",Arlington,TX,75991,1,2024-12-18
17,SUSAN,EVANS,susan8@gmail.com,"(714) 743-3579","1031 Lake Dr",Garland,TX,75070,1,2021-07-04
18,KEVIN,MARTIN,kevin.martin@protonmail.com,"(629) 873-9565","5283 Highland Ave",Arlington,TX,75685,1,2021-05-13
19,DONNA,ROBERTS,donna.roberts@hotmail.com,"(669) 836-2638","1300 Lake Dr",Irving,TX,75135,1,2020-04-12
20,NULL,ANDERSON,panderson@protonmail.com,"(741) 208-5905","1797 Highland Ave",Plano,TX,75118,1,2024-03-09
21,NULL,NELSON,pnelson@yahoo.com,"(849) 470-9280","8104 Pine Rd",Dallas,TX,75649,0,2022-01-01
22,CHRISTINE,COLLINS,ccollins@yahoo.com,"(652) 764-8007","9289 Main St",Garland,TX,75967,1,2024-01-27
23,ANN,GONZALEZ,ann.gonzalez@protonmail.com,"(515) 573-1653","5962 Cedar Ln",Irving,TX,75362,0,2024-12-05
24,BRENDA,ANDERSON,banderson@yahoo.com,"(540) 621-5065","4471 Maple Dr",Garland,TX,75893,1,2023-04-07
25,JOSEPH,LEWIS,jlewis@gmail.com,"(397) 608-6378","4664 Sunset Blvd",Garland,TX,75359,0,2024-06-01
26,HELEN,THOMPSON,helen.thompson@yahoo.com,"(810) 644-6663","5239 Washington Blvd",Richardson,TX,75394,1,2022-01-23
27,David,SMITH,david69@yahoo.com,"(271) 880-6409","5243 Hill St",Garland,TX,75519,1,2023-06-13
28,DENNIS,MARTINEZ,dmartinez@outlook.com,NULL,"9424 Pine Rd",McKinney,TX,75311,1,2021-07-26
29,MATTHEW,NELSON,mnelson@outlook.com,"(418) 723-8752","2880 Hill St",Garland,TX,75527,1,2020-04-22
30,AMANDA,HARRIS,amanda.harris@yahoo.com,"(686) 825-2193","7561 Washington Blvd",Richardson,TX,75735,0,2023-07-08
31,RUTH,PEREZ,ruth.perez@gmail.com,"(380) 912-9486","7711 Main St",Carrollton,TX,75939,1,2023-03-26
32,THOMAS,ROBERTS,thomas72@protonmail.com,"(827) 936-9270","7091 Sunset Blvd",Carrollton,TX,75918,1,2023-08-09
33,AMY,MITCHELL,amitchell@outlook.com,"(444) 481-8206","1369 Valley Way",Arlington,TX,75278,1,2022-09-03
34,Carol,TAYLOR,carol.taylor@yahoo.com,"(624) 617-6421","8990 Park Ave",McKinney,TX,75211,0,2023-10-23
35,LINDA,EDWARDS,linda49@outlook.com,"(505) 971-7389","6965 Lake Dr",Carrollton,TX,75499,1,2022-07-16
36,Barbara,WALKER,barbara86@outlook.com,"(330) 837-9751","541 Highland Ave",McKinney,TX,75085,0,2021-08-06
37,MARIA,THOMPSON,maria42@yahoo.com,"(545) 979-7211","4658 Forest Ln",McKinney,TX,75854,1,2023-01-24
38,BRIAN,JONES,brian.jones@hotmail.com,"(453) 404-1333","2596 Cedar Ln",Plano,TX,75685,1,2024-04-15
39,DENNIS,THOMPSON,dthompson@protonmail.com,"(935) 317-3683","5196 Oak Ave",Richardson,TX,75951,1,2024-11-13
40,JAMES,CAMPBELL,james.campbell@yahoo.com,"(913) 991-5941","9937 Forest Ln",Garland,TX,75355,0,2022-02-17
41,ERIC,RODRIGUEZ,eric54@outlook.com,"(570) 850-8532","2606 Washington Blvd",Plano,TX,TX750,0,2023-07-27
42,GARY,GARCIA,gary32@gmail.com,"(449) 968-8613","9436 River Rd",McKinney,TX,75029,0,2022-03-16
43,CYNTHIA,LEWIS,clewis@protonmail.com,"(482) 769-1166","8564 Cedar Ln",Garland,TX,75737,0,2023-09-25
44,BRENDA,PHILLIPS,brenda.phillips@outlook.com,"(295) 501-4630","6725 Valley Way",Irving,TX,75679,1,2023-09-17
45,JANET,YOUNG,janet43@hotmail.com,"(513) 457-4777","2076 Valley Way",Irving,TX,75122,1,2021-04-24
